quarter,age_band,population
2023-Q1,70-74,1154391
2023-Q1,75-79,916027
2023-Q1,80+,1137236
2023-Q2,0-4,1512632
2023-Q2,5-9,1610402
2023-Q2,10-14,1657517
2023-Q2,15-19,1608467
2023-Q2,20-24,1731956
2023-Q2,25-29,1927448
2023-Q2,30-34,1987305
2023-Q2,35-39,1940750
2023-Q2,40-44,1781678
2023-Q2,45-49,1616802
2023-Q2,50-54,1681336
2023-Q2,55-59,1525688
2023-Q2,60-64,1517836
2023-Q2,65-69,1328359
2023-Q2,70-74,1157586
2023-Q2,75-79,930056
2023-Q2,80+,1144104
2023-Q3,0-4,1513700
2023-Q3,5-9,1610400
2023-Q3,10-14,1661915
2023-Q3,15-19,1627920
2023-Q3,20-24,1760787
2023-Q3,25-29,1952724
2023-Q3,30-34,2004045
2023-Q3,35-39,1953683
2023-Q3,40-44,1800044
2023-Q3,45-49,1620032
2023-Q3,50-54,1683495
2023-Q3,55-59,1527681
2023-Q3,60-64,1521694
2023-Q3,65-69,1335838
2023-Q3,70-74,1161358
2023-Q3,75-79,940310
2023-Q3,80+,1155505
2023-Q4,0-4,1512405
2023-Q4,5-9,1610660
2023-Q4,10-14,1666127
2023-Q4,15-19,1637241
2023-Q4,20-24,1766194
2023-Q4,25-29,1969331
2023-Q4,30-34,2017151
2023-Q4,35-39,1964917
2023-Q4,40-44,1817724
2023-Q4,45-49,1623065
2023-Q4,50-54,1685643
2023-Q4,55-59,1529998
2023-Q4,60-64,1526123
2023-Q4,65-69,1344066
2023-Q4,70-74,1165969
2023-Q4,75-79,951156
2023-Q4,80+,1168890
2024-Q1,0-4,1511542
2024-Q1,5-9,1611448
2024-Q1,10-14,1671130
2024-Q1,15-19,1656352
2024-Q1,20-24,1789777
2024-Q1,25-29,1989281
2024-Q1,30-34,2030716
2024-Q1,35-39,1976106
2024-Q1,40-44,1835325
2024-Q1,45-49,1626113
2024-Q1,50-54,1687670
2024-Q1,55-59,1531792
2024-Q1,60-64,1530148
2024-Q1,65-69,1351670
2024-Q1,70-74,1170173
2024-Q1,75-79,961849
2024-Q1,80+,1182425
2024-Q2,0-4,1510118
2024-Q2,5-9,1610560
2024-Q2,10-14,1674286
2024-Q2,15-19,1661899
2024-Q2,20-24,1788158
2024-Q2,25-29,1993742
2024-Q2,30-34,2037192
2024-Q2,35-39,1984511
2024-Q2,40-44,1851302
2024-Q2,45-49,1628199
2024-Q2,50-54,1689212
2024-Q2,55-59,1533514
2024-Q2,60-64,1534035
2024-Q2,65-69,1359113
2024-Q2,70-74,1174208
2024-Q2,75-79,972109
2024-Q2,80+,1192128
2024-Q3,0-4,1513931
2024-Q3,5-9,1608621
2024-Q3,10-14,1676456
2024-Q3,15-19,1674955
2024-Q3,20-24,1800480
2024-Q3,25-29,2002126
2024-Q3,30-34,2043064
2024-Q3,35-39,1992463
2024-Q3,40-44,1866290
2024-Q3,45-49,1633620
2024-Q3,50-54,1688267
2024-Q3,55-59,1538412
2024-Q3,60-64,1534203
2024-Q3,65-69,1365897
2024-Q3,70-74,1178044
2024-Q3,75-79,981379
2024-Q3,80+,1202941
2024-Q4,0-4,1508747
2024-Q4,5-9,1607222
2024-Q4,10-14,1678670
2024-Q4,15-19,1680967
2024-Q4,20-24,1797853
2024-Q4,25-29,2008713
2024-Q4,30-34,2050470
2024-Q4,35-39,2001371
2024-Q4,40-44,1881870
2024-Q4,45-49,1639380
2024-Q4,50-54,1687709
2024-Q4,55-59,1543610
2024-Q4,60-64,1535088
2024-Q4,65-69,1373457
2024-Q4,70-74,1182913
2024-Q4,75-79,991614
2024-Q4,80+,1218479
2025-Q1,0-4,1514043
2025-Q1,5-9,1606106
2025-Q1,10-14,1681279
2025-Q1,15-19,1699687
2025-Q1,20-24,1818758
2025-Q1,25-29,2022741
2025-Q1,30-34,2059521
2025-Q1,35-39,2010705
2025-Q1,40-44,1897754
2025-Q1,45-49,1645432
2025-Q1,50-54,1687291
2025-Q1,55-59,1548784
2025-Q1,60-64,1535691
2025-Q1,65-69,1380563
2025-Q1,70-74,1187748
2025-Q1,75-79,1001411
2025-Q1,80+,1233929
2025-Q2,0-4,1517443
2025-Q2,5-9,1603848
2025-Q2,10-14,1682567
2025-Q2,15-19,1704360
2025-Q2,20-24,1814867
2025-Q2,25-29,2025587
2025-Q2,30-34,2065124
2025-Q2,35-39,2018809
2025-Q2,40-44,1912877
2025-Q2,45-49,1651066
2025-Q2,50-54,1686897
2025-Q2,55-59,1554050
2025-Q2,60-64,1536642
2025-Q2,65-69,1388113
2025-Q2,70-74,1192722
2025-Q2,75-79,1011227
2025-Q2,80+,1247455
2025-Q3,0-4,1518410
2025-Q3,5-9,1601600
2025-Q3,10-14,1685963
